user_id,latitude,longitude,visit_count,first_seen,last_seen,avg_speed,total_time_minutes
1,12.978303,77.608128,1,2026-01-06 17:00:00,2026-01-06 17:00:00,0.0,0.0
1,12.978985,77.609356,1,2026-01-11 10:00:00,2026-01-11 10:00:00,0.07987055064171376,0.0
1,12.979537,77.607287,1,2026-01-21 08:00:00,2026-01-21 08:00:00,0.14448009594956257,0.0
1,12.979842,77.608486,1,2026-01-11 16:00:00,2026-01-11 16:00:00,0.0,0.0
1,12.979927,77.61056,1,2026-01-15 08:00:00,2026-01-15 08:00:00,0.03435891494434712,0.0
1,12.980549,77.605701,1,2026-01-03 20:00:00,2026-01-03 20:00:00,0.1336396806062605,0.0
1,12.980607,77.603238,1,2026-01-13 18:00:00,2026-01-13 18:00:00,0.0,0.0
1,12.980646,77.608661,1,2026-01-21 20:00:00,2026-01-21 20:00:00,0.0,0.0
1,12.980697,77.606297,1,2026-01-27 20:00:00,2026-01-27 20:00:00,0.09891284712607612,0.0
1,12.98082,77.607167,1,2026-01-12 23:00:00,2026-01-12 23:00:00,0.0,0.0
1,12.98084,77.607509,1,2026-01-01 06:00:00,2026-01-01 06:00:00,0.0,0.0
1,12.980897,77.608324,1,2026-01-24 23:00:00,2026-01-24 23:00:00,0.0,0.0
1,12.980909,77.608737,1,2026-01-17 04:00:00,2026-01-17 04:00:00,0.0,0.0
1,12.981127,77.61063,1,2026-01-03 08:00:00,2026-01-03 08:00:00,0.05564983803008591,0.0
1,12.981263,77.606697,1,2026-01-14 01:00:00,2026-01-14 01:00:00,0.0,0.0
1,12.981422,77.606364,1,2026-01-01 00:00:00,2026-01-01 00:00:00,0.0,0.0
1,12.981526,77.605881,1,2026-01-11 04:00:00,2026-01-11 04:00:00,0.031664134090123655,0.0
1,12.981623,77.60749,1,2026-01-25 12:00:00,2026-01-25 12:00:00,0.038564543789545824,0.0
1,12.981719,77.609437,1,2026-01-04 09:00:00,2026-01-04 09:00:00,0.0,0.0
1,12.981729,77.610133,1,2026-01-15 02:00:00,2026-01-15 02:00:00,0.0,0.0
1,12.981988,77.607943,1,2026-01-08 19:00:00,2026-01-08 19:00:00,0.0,0.0
1,12.982065,77.609669,1,2026-01-02 01:00:00,2026-01-02 01:00:00,0.0,0.0
1,12.982149,77.607677,1,2026-01-22 09:00:00,2026-01-22 09:00:00,0.11469090972886524,0.0
1,12.982159,77.609727,1,2026-01-11 16:00:00,2026-01-11 16:00:00,0.06306456762313216,0.0
1,12.98231,77.606754,1,2026-01-14 19:00:00,2026-01-14 19:00:00,0.03518467360514509,0.0
