user_id,latitude,longitude,date,time,datetime,hour,day,weekday,month,weekend,lat_lag,lon_lag,time_lag,distance_to_prev_km,speed_kmh,cum_distance_km,avg_speed_kmh,max_speed_kmh
1,12.981422,77.606364,2026-01-01,00:00:00,2026-01-01 00:00:00,0,1,Thursday,1,False,,,,0.0,0.0,0.0,0.048481379195197814,0.9501518321659214
1,12.984084,77.609658,2026-01-01,00:00:00,2026-01-01 00:00:00,0,1,Thursday,1,False,12.981422,77.606364,2026-01-01 00:00:00,0.4714593224689785,0.0,0.4714593224689785,0.048481379195197814,0.9501518321659214
1,12.982314,77.606383,2026-01-01,06:00:00,2026-01-01 06:00:00,6,1,Thursday,1,False,12.984084,77.609658,2026-01-01 00:00:00,0.41441140820937494,0.06906856803489582,0.8858707306783534,0.048481379195197814,0.9501518321659214
1,12.98084,77.607509,2026-01-01,06:00:00,2026-01-01 06:00:00,6,1,Thursday,1,False,12.982314,77.606383,2026-01-01 06:00:00,0.20648440696232778,0.0,1.0923551376406813,0.048481379195197814,0.9501518321659214
1,12.982687,77.607388,2026-01-01,12:00:00,2026-01-01 12:00:00,12,1,Thursday,1,False,12.98084,77.607509,2026-01-01 06:00:00,0.20604877934480836,0.03434146322413473,1.2984039169854895,0.048481379195197814,0.9501518321659214
1,12.983713,77.60814,2026-01-01,12:00:00,2026-01-01 12:00:00,12,1,Thursday,1,False,12.982687,77.607388,2026-01-01 12:00:00,0.1416076162814876,0.0,1.4400115332669772,0.048481379195197814,0.9501518321659214
1,12.982417,77.608428,2026-01-01,18:00:00,2026-01-01 18:00:00,18,1,Thursday,1,False,12.983713,77.60814,2026-01-01 12:00:00,0.14779003521390024,0.024631672535650042,1.5878015684808775,0.048481379195197814,0.9501518321659214
1,12.986276,77.607688,2026-01-02,01:00:00,2026-01-02 01:00:00,1,2,Friday,1,False,12.982417,77.608428,2026-01-01 18:00:00,0.43741084478354997,0.06248726354050714,2.0252124132644274,0.048481379195197814,0.9501518321659214
1,12.982065,77.609669,2026-01-02,01:00:00,2026-01-02 01:00:00,1,2,Friday,1,False,12.986276,77.607688,2026-01-02 01:00:00,0.5180493853717067,0.0,2.5432617986361343,0.048481379195197814,0.9501518321659214
1,12.983067,77.606779,2026-01-02,07:00:00,2026-01-02 07:00:00,7,2,Friday,1,False,12.982065,77.609669,2026-01-02 01:00:00,0.3405028238895322,0.05675047064825536,2.8837646225256663,0.048481379195197814,0.9501518321659214
1,12.983842,77.608756,2026-01-02,07:00:00,2026-01-02 07:00:00,7,2,Friday,1,False,12.983067,77.606779,2026-01-02 07:00:00,0.23638544471126738,0.0,3.1201500672369336,0.048481379195197814,0.9501518321659214
1,12.985318,77.608608,2026-01-02,13:00:00,2026-01-02 13:00:00,13,2,Friday,1,False,12.983842,77.608756,2026-01-02 07:00:00,0.1651322545971743,0.02752204243286238,3.285282321834108,0.048481379195197814,0.9501518321659214
1,12.984847,77.605588,2026-01-02,13:00:00,2026-01-02 13:00:00,13,2,Friday,1,False,12.985318,77.608608,2026-01-02 13:00:00,0.34025046775514206,0.0,3.62553278958925,0.048481379195197814,0.9501518321659214
1,12.984126,77.605598,2026-01-02,19:00:00,2026-01-02 19:00:00,19,2,Friday,1,False,12.984847,77.605588,2026-01-02 13:00:00,0.08026943946239201,0.013378239910398668,3.705802229051642,0.048481379195197814,0.9501518321659214
1,12.98584,77.608654,2026-01-03,02:00:00,2026-01-03 02:00:00,2,3,Saturday,1,True,12.984126,77.605598,2026-01-02 19:00:00,0.39004806060172936,0.05572115151453277,4.095850289653371,0.048481379195197814,0.9501518321659214
1,12.98256,77.607995,2026-01-03,02:00:00,2026-01-03 02:00:00,2,3,Saturday,1,True,12.98584,77.608654,2026-01-03 02:00:00,0.3724262299969883,0.0,4.4682765196503595,0.048481379195197814,0.9501518321659214
1,12.981127,77.61063,2026-01-03,08:00:00,2026-01-03 08:00:00,8,3,Saturday,1,True,12.98256,77.607995,2026-01-03 02:00:00,0.3338990281805155,0.05564983803008591,4.802175547830875,0.048481379195197814,0.9501518321659214
1,12.98413,77.610581,2026-01-03,08:00:00,2026-01-03 08:00:00,8,3,Saturday,1,True,12.981127,77.61063,2026-01-03 08:00:00,0.33433845908953197,0.0,5.136514006920407,0.048481379195197814,0.9501518321659214
1,12.983429,77.608929,2026-01-03,14:00:00,2026-01-03 14:00:00,14,3,Saturday,1,True,12.98413,77.610581,2026-01-03 08:00:00,0.19977226173731155,0.03329537695621859,5.336286268657719,0.048481379195197814,0.9501518321659214
1,12.987465,77.607714,2026-01-03,14:00:00,2026-01-03 14:00:00,14,3,Saturday,1,True,12.983429,77.608929,2026-01-03 14:00:00,0.4692045034335811,0.0,5.8054907720913,0.048481379195197814,0.9501518321659214
