user_id,latitude,longitude,date,time,datetime
1,12.981422,77.606364,2026-01-01,00:00:00,2026-01-01 00:00:00
1,12.986276,77.607688,2026-01-02,01:00:00,2026-01-02 01:00:00
1,12.98584,77.608654,2026-01-03,02:00:00,2026-01-03 02:00:00
1,12.983027,77.608784,2026-01-04,03:00:00,2026-01-04 03:00:00
1,12.983967,77.607255,2026-01-05,04:00:00,2026-01-05 04:00:00
1,12.985094,77.605048,2026-01-06,05:00:00,2026-01-06 05:00:00
1,12.987584,77.606958,2026-01-07,06:00:00,2026-01-07 06:00:00
1,12.987501,77.607373,2026-01-08,07:00:00,2026-01-08 07:00:00
1,12.988864,77.60598,2026-01-09,08:00:00,2026-01-09 08:00:00
1,12.985476,77.608176,2026-01-10,09:00:00,2026-01-10 09:00:00
1,12.978985,77.609356,2026-01-11,10:00:00,2026-01-11 10:00:00
1,12.986783,77.610154,2026-01-12,11:00:00,2026-01-12 11:00:00
1,12.98551,77.607808,2026-01-13,12:00:00,2026-01-13 12:00:00
1,12.986864,77.610448,2026-01-14,13:00:00,2026-01-14 13:00:00
1,12.985385,77.60711,2026-01-15,14:00:00,2026-01-15 14:00:00
1,12.984176,77.60484,2026-01-16,15:00:00,2026-01-16 15:00:00
1,12.987652,77.603156,2026-01-17,16:00:00,2026-01-17 16:00:00
1,12.98476,77.608029,2026-01-18,17:00:00,2026-01-18 17:00:00
1,12.98752,77.611423,2026-01-19,18:00:00,2026-01-19 18:00:00
1,12.988087,77.607517,2026-01-20,19:00:00,2026-01-20 19:00:00
1,12.984856,77.605777,2026-01-21,20:00:00,2026-01-21 20:00:00
1,12.98656,77.606787,2026-01-22,21:00:00,2026-01-22 21:00:00
1,12.982652,77.606022,2026-01-23,22:00:00,2026-01-23 22:00:00
1,12.984177,77.606714,2026-01-24,23:00:00,2026-01-24 23:00:00
1,12.98918,77.606264,2026-01-25,00:00:00,2026-01-25 00:00:00
1,12.984965,77.607956,2026-01-26,01:00:00,2026-01-26 01:00:00
1,12.985257,77.608211,2026-01-27,02:00:00,2026-01-27 02:00:00
1,12.984537,77.607133,2026-01-28,03:00:00,2026-01-28 03:00:00
1,12.984076,77.604124,2026-01-29,04:00:00,2026-01-29 04:00:00
1,12.986533,77.609269,2026-01-30,05:00:00,2026-01-30 05:00:00
1,12.982314,77.606383,2026-01-01,06:00:00,2026-01-01 06:00:00
1,12.983067,77.606779,2026-01-02,07:00:00,2026-01-02 07:00:00
1,12.981127,77.61063,2026-01-03,08:00:00,2026-01-03 08:00:00
1,12.985178,77.606677,2026-01-04,09:00:00,2026-01-04 09:00:00
1,12.985194,77.607423,2026-01-05,10:00:00,2026-01-05 10:00:00
1,12.984477,77.607828,2026-01-06,11:00:00,2026-01-06 11:00:00
1,12.987106,77.610339,2026-01-07,12:00:00,2026-01-07 12:00:00
1,12.988908,77.607002,2026-01-08,13:00:00,2026-01-08 13:00:00
1,12.984801,77.607899,2026-01-09,14:00:00,2026-01-09 14:00:00
1,12.986357,77.606432,2026-01-10,15:00:00,2026-01-10 15:00:00
1,12.982159,77.609727,2026-01-11,16:00:00,2026-01-11 16:00:00
1,12.986984,77.607847,2026-01-12,17:00:00,2026-01-12 17:00:00
1,12.982704,77.606533,2026-01-13,18:00:00,2026-01-13 18:00:00
1,12.98231,77.606754,2026-01-14,19:00:00,2026-01-14 19:00:00
1,12.985445,77.607337,2026-01-15,20:00:00,2026-01-15 20:00:00
1,12.987369,77.608002,2026-01-16,21:00:00,2026-01-16 21:00:00
1,12.986162,77.607602,2026-01-17,22:00:00,2026-01-17 22:00:00
1,12.988131,77.605655,2026-01-18,23:00:00,2026-01-18 23:00:00
1,12.985193,77.605953,2026-01-19,00:00:00,2026-01-19 00:00:00
1,12.987753,77.608801,2026-01-20,01:00:00,2026-01-20 01:00:00
1,12.982368,77.610616,2026-01-21,02:00:00,2026-01-21 02:00:00
1,12.983105,77.604733,2026-01-22,03:00:00,2026-01-22 03:00:00
1,12.983438,77.60842,2026-01-23,04:00:00,2026-01-23 04:00:00
1,12.983831,77.612431,2026-01-24,05:00:00,2026-01-24 05:00:00
1,12.986311,77.611563,2026-01-25,06:00:00,2026-01-25 06:00:00
1,12.987672,77.604928,2026-01-26,07:00:00,2026-01-26 07:00:00
1,12.984444,77.601643,2026-01-27,08:00:00,2026-01-27 08:00:00
1,12.984207,77.60953,2026-01-28,09:00:00,2026-01-28 09:00:00
1,12.984114,77.606227,2026-01-29,10:00:00,2026-01-29 10:00:00
1,12.986752,77.609275,2026-01-30,11:00:00,2026-01-30 11:00:00
1,12.982687,77.607388,2026-01-01,12:00:00,2026-01-01 12:00:00
1,12.985318,77.608608,2026-01-02,13:00:00,2026-01-02 13:00:00
1,12.983429,77.608929,2026-01-03,14:00:00,2026-01-03 14:00:00
1,12.984452,77.607609,2026-01-04,15:00:00,2026-01-04 15:00:00
1,12.988602,77.60669,2026-01-05,16:00:00,2026-01-05 16:00:00
1,12.98382,77.610327,2026-01-06,17:00:00,2026-01-06 17:00:00
1,12.983789,77.61114,2026-01-07,18:00:00,2026-01-07 18:00:00
1,12.985112,77.608048,2026-01-08,19:00:00,2026-01-08 19:00:00
1,12.987267,77.610526,2026-01-09,20:00:00,2026-01-09 20:00:00
1,12.988094,77.607893,2026-01-10,21:00:00,2026-01-10 21:00:00
1,12.982667,77.607795,2026-01-11,22:00:00,2026-01-11 22:00:00
1,12.983969,77.606015,2026-01-12,23:00:00,2026-01-12 23:00:00
1,12.984821,77.609488,2026-01-13,00:00:00,2026-01-13 00:00:00
1,12.984633,77.610828,2026-01-14,01:00:00,2026-01-14 01:00:00
1,12.985421,77.607588,2026-01-15,02:00:00,2026-01-15 02:00:00
1,12.9851,77.60698,2026-01-16,03:00:00,2026-01-16 03:00:00
1,12.983137,77.609253,2026-01-17,04:00:00,2026-01-17 04:00:00
1,12.983793,77.606383,2026-01-18,05:00:00,2026-01-18 05:00:00
1,12.985622,77.60807,2026-01-19,06:00:00,2026-01-19 06:00:00
1,12.987022,77.607608,2026-01-20,07:00:00,2026-01-20 07:00:00
1,12.979537,77.607287,2026-01-21,08:00:00,2026-01-21 08:00:00
1,12.982149,77.607677,2026-01-22,09:00:00,2026-01-22 09:00:00
1,12.985983,77.60971,2026-01-23,10:00:00,2026-01-23 10:00:00
1,12.984741,77.609312,2026-01-24,11:00:00,2026-01-24 11:00:00
1,12.981623,77.60749,2026-01-25,12:00:00,2026-01-25 12:00:00
1,12.986149,77.605888,2026-01-26,13:00:00,2026-01-26 13:00:00
